player,nationality,position,team,age,sca,sca_per90,gca,gca_per90
Mateus Fernandes,ptPOR,MF,Southampton,20-275,61,2.37,6,0.23
Enzo Fernández,arARG,MF,Chelsea,24-084,121,4.70,13,0.50
Mark Flekken,nlNED,GK,Brentford,31-302,7,0.24,1,0.03
Phil Foden,engENG,"MF,FW",Manchester City,24-318,84,4.48,9,0.48
Wesley Fofana,frFRA,DF,Chelsea,24-115,15,1.15,0,0.00
Carlos Forbs,ptPOR,"MF,FW",Wolves,21-023,5,1.91,1,0.38
Fraser Forster,engENG,GK,Tottenham,37-025,0,0.00,0,0.00
Matheus França,brBRA,"MF,DF",Crystal Palace,21-010,0,0.00,0,0.00
Ryan Fraser,sctSCO,"FW,DF",Southampton,31-046,5,1.47,0,0.00
Niclas Füllkrug,deGER,FW,West Ham,32-061,14,2.78,1,0.20
Cody Gakpo,nlNED,FW,Liverpool,25-339,61,3.74,6,0.37
Idrissa Gana Gueye,snSEN,MF,Everton,35-197,52,1.91,3,0.11
Andrés García,esESP,"DF,MF",Aston Villa,22-063,3,0.87,0,0.00
Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-284,64,3.16,4,0.20
James Garner,engENG,"MF,DF",Everton,24-029,25,2.34,4,0.37
Tyrique George,engENG,FW,Chelsea,19-066,6,6.07,1,1.01
Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-074,96,3.93,16,0.66
Billy Gilmour,sctSCO,MF,Brighton,23-304,3,2.76,0,0.00
Ben Godfrey,engENG,DF,Ipswich Town,27-086,1,0.83,0,0.00
Martial Godo,engENG,FW,Fulham,22-028,0,0.00,0,0.00
João Gomes,brBRA,MF,Wolves,24-058,57,2.11,3,0.11
Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-278,16,2.42,0,0.00
Toti Gomes,ptPOR,DF,Wolves,26-085,18,0.82,1,0.05
Diego Gómez,pyPAR,MF,Brighton,22-015,12,2.73,1,0.23
Joe Gomez,engENG,DF,Liverpool,27-323,5,0.87,1,0.17
Nicolás González,esESP,MF,Manchester City,23-098,12,2.25,1,0.19
Anthony Gordon,engENG,FW,Newcastle Utd,24-046,96,4.10,12,0.51
Ryan Gravenberch,nlNED,MF,Liverpool,22-330,56,1.90,6,0.20
Archie Gray,engENG,"DF,MF",Tottenham,19-030,5,0.36,0,0.00
Jack Grealish,engENG,"FW,MF",Manchester City,29-213,47,5.90,2,0.25
Jacob Greaves,engENG,DF,Ipswich Town,24-211,12,0.65,0,0.00
Brajan Gruda,deGER,"FW,MF",Brighton,20-315,24,4.41,2,0.37
Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-323,2,1.26,0,0.00
Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-133,23,2.69,8,0.94
Marc Guéhi,engENG,DF,Crystal Palace,24-272,32,1.10,5,0.17
Luis Guilherme,brBRA,"MF,FW",West Ham,19-061,9,7.43,0,0.00
Bruno Guimarães,brBRA,MF,Newcastle Utd,27-146,97,3.39,16,0.56
Marc Guiu,esESP,FW,Chelsea,19-097,1,1.22,0,0.00
İlkay Gündoğan,deGER,MF,Manchester City,34-169,62,3.29,8,0.42
Malo Gusto,frFRA,DF,Chelsea,21-327,49,2.55,4,0.21
Joško Gvardiol,hrCRO,DF,Manchester City,23-078,65,2.21,6,0.20
Erling Haaland,noNOR,FW,Manchester City,24-264,62,2.25,9,0.33
Lewis Hall,engENG,DF,Newcastle Utd,20-215,63,2.59,6,0.25
Ali Al Hamadi,iqIRQ,FW,Ipswich Town,23-041,8,5.37,0,0.00
Marcus Harness,engENG,MF,Ipswich Town,29-046,2,4.00,0,0.00
Jack Harrison,engENG,FW,Everton,28-142,48,2.60,4,0.22
Taylor Harwood-Bellis,engENG,DF,Southampton,23-071,32,1.25,2,0.08
Kai Havertz,deGER,"FW,MF",Arsenal,25-304,41,2.01,3,0.15
Ayden Heaven,engENG,DF,Manchester Utd,18-201,2,1.89,0,0.00
Jan Paul van Hecke,nlNED,DF,Brighton,24-307,45,1.61,3,0.11
Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-075,9,1.27,1,0.14
Dean Henderson,engENG,GK,Crystal Palace,28-030,3,0.10,0,0.00
Rico Henry,engENG,DF,Brentford,27-277,1,22.50,1,22.50
Mads Hermansen,dkDEN,GK,Leicester City,24-274,3,0.13,0,0.00
Son Heung-min,krKOR,FW,Tottenham,32-277,116,5.21,15,0.67
James Hill,engENG,DF,Bournemouth,23-091,8,1.61,1,0.20
Jack Hinshelwood,engENG,"DF,MF",Brighton,20-000,27,1.72,2,0.13
George Hirst,sctSCO,FW,Ipswich Town,26-055,6,1.79,2,0.60
Mason Holgate,engENG,"FW,DF",Everton,28-171,0,0.00,0,0.00
Callum Hudson-Odoi,engENG,FW,Nott'ham Forest,24-155,90,4.08,11,0.50
Will Hughes,engENG,MF,Crystal Palace,29-359,59,3.22,6,0.33
Dean Huijsen,esESP,DF,Bournemouth,19-362,35,1.68,3,0.14
Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-163,64,2.59,6,0.24
Rasmus Højlund,dkDEN,FW,Manchester Utd,22-066,29,1.68,1,0.06
Igor,brBRA,DF,Brighton,27-063,11,1.10,0,0.00
Danny Ings,engENG,"FW,MF",West Ham,32-262,12,3.80,2,0.63
Tim Iroegbunam,engENG,MF,Everton,21-285,10,1.62,1,0.16
Andy Irving,sctSCO,MF,West Ham,24-333,5,2.68,0,0.00
Alexander Isak,seSWE,FW,Newcastle Utd,25-202,78,3.21,13,0.53
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-343,109,3.98,15,0.55
Nicolas Jackson,snSEN,FW,Chelsea,23-295,64,3.10,10,0.48
Reece James,engENG,"DF,MF",Chelsea,25-124,13,1.53,1,0.12
Vitaly Janelt,deGER,MF,Brentford,26-336,31,1.28,3,0.12
Vitezslav Jaros,czCZE,GK,Liverpool,23-262,0,0.00,0,0.00
Daniel Jebbison,engENG,FW,Bournemouth,21-241,5,6.00,0,0.00
