player,nationality,position,team,age,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions
Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-286,36,22,35,18,24,0,24,10
Łukasz Fabiański,plPOL,GK,West Ham,39-358,0,0,1,1,0,0,0,0
Wout Faes,beBEL,DF,Leicester City,27-008,38,23,41,19,42,30,12,25
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-034,21,15,19,8,7,0,7,4
João Félix,ptPOR,"FW,MF",Chelsea,25-152,8,3,9,4,2,0,2,3
Evan Ferguson,ieIRL,FW,West Ham,20-174,2,0,0,0,2,1,1,1
Evan Ferguson,ieIRL,FW,Brighton,20-174,4,3,5,3,3,1,2,0
Bruno Fernandes,ptPOR,MF,Manchester Utd,30-215,70,42,70,43,28,4,24,23
Mateus Fernandes,ptPOR,MF,Southampton,20-275,75,41,57,30,33,3,30,18
Enzo Fernández,arARG,MF,Chelsea,24-084,55,28,70,44,30,5,25,11
Mark Flekken,nlNED,GK,Brentford,31-302,3,3,7,5,1,0,1,0
Phil Foden,engENG,"MF,FW",Manchester City,24-318,12,5,17,10,12,1,11,9
Wesley Fofana,frFRA,DF,Chelsea,24-115,13,12,14,8,14,9,5,14
Carlos Forbs,ptPOR,"MF,FW",Wolves,21-023,8,5,5,1,3,0,3,1
Fraser Forster,engENG,GK,Tottenham,37-025,0,0,1,1,0,0,0,0
Matheus França,brBRA,"MF,DF",Crystal Palace,21-010,0,0,0,0,0,0,0,0
Ryan Fraser,sctSCO,"FW,DF",Southampton,31-046,6,2,6,2,1,1,0,1
Niclas Füllkrug,deGER,FW,West Ham,32-061,2,2,3,1,1,0,1,0
Cody Gakpo,nlNED,FW,Liverpool,25-339,24,12,21,10,17,2,15,8
Idrissa Gana Gueye,snSEN,MF,Everton,35-197,115,69,82,31,41,8,33,37
Andrés García,esESP,"DF,MF",Aston Villa,22-063,9,5,8,4,2,0,2,2
Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-284,26,17,28,18,16,0,16,10
James Garner,engENG,"MF,DF",Everton,24-029,25,15,27,15,13,3,10,14
Tyrique George,engENG,FW,Chelsea,19-066,2,0,3,1,0,0,0,1
Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-074,37,17,26,13,13,4,9,17
Billy Gilmour,sctSCO,MF,Brighton,23-304,3,3,4,1,1,0,1,0
Ben Godfrey,engENG,DF,Ipswich Town,27-086,0,0,0,0,1,1,0,2
Martial Godo,engENG,FW,Fulham,22-028,0,0,0,0,1,0,1,1
João Gomes,brBRA,MF,Wolves,24-058,88,52,86,51,36,3,33,25
Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-278,19,12,17,8,8,1,7,5
Toti Gomes,ptPOR,DF,Wolves,26-085,47,34,31,6,24,14,10,19
Diego Gómez,pyPAR,MF,Brighton,22-015,16,10,18,9,9,0,9,6
Joe Gomez,engENG,DF,Liverpool,27-323,13,10,16,5,9,6,3,7
Nicolás González,esESP,MF,Manchester City,23-098,9,3,5,3,9,0,9,3
Anthony Gordon,engENG,FW,Newcastle Utd,24-046,28,17,32,21,24,2,22,6
Ryan Gravenberch,nlNED,MF,Liverpool,22-330,56,28,45,18,32,9,23,53
Archie Gray,engENG,"DF,MF",Tottenham,19-030,12,6,16,10,19,10,9,8
Jack Grealish,engENG,"FW,MF",Manchester City,29-213,9,5,5,3,11,2,9,2
Jacob Greaves,engENG,DF,Ipswich Town,24-211,27,13,22,8,27,19,8,17
Brajan Gruda,deGER,"FW,MF",Brighton,20-315,13,5,14,7,8,0,8,2
Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-323,4,1,10,7,1,1,0,0
Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-133,14,4,15,12,9,0,9,5
Marc Guéhi,engENG,DF,Crystal Palace,24-272,53,29,42,13,50,21,29,23
Luis Guilherme,brBRA,"MF,FW",West Ham,19-061,1,0,1,1,6,0,6,3
Bruno Guimarães,brBRA,MF,Newcastle Utd,27-146,65,39,59,30,31,9,22,25
Marc Guiu,esESP,FW,Chelsea,19-097,1,1,1,0,0,0,0,0
İlkay Gündoğan,deGER,MF,Manchester City,34-169,22,13,23,13,11,0,11,12
Malo Gusto,frFRA,DF,Chelsea,21-327,43,28,45,21,28,8,20,22
Joško Gvardiol,hrCRO,DF,Manchester City,23-078,49,33,34,15,35,17,18,31
Erling Haaland,noNOR,FW,Manchester City,24-264,9,5,6,4,11,1,10,5
Lewis Hall,engENG,DF,Newcastle Utd,20-215,58,41,74,34,33,18,15,18
Ali Al Hamadi,iqIRQ,FW,Ipswich Town,23-041,1,0,2,2,0,0,0,0
Marcus Harness,engENG,MF,Ipswich Town,29-046,1,0,3,3,2,1,1,0
Jack Harrison,engENG,FW,Everton,28-142,27,19,35,21,15,2,13,7
Taylor Harwood-Bellis,engENG,DF,Southampton,23-071,27,19,29,10,55,34,21,28
Kai Havertz,deGER,"FW,MF",Arsenal,25-304,16,9,15,11,22,4,18,6
Ayden Heaven,engENG,DF,Manchester Utd,18-201,3,3,2,0,2,2,0,1
Jan Paul van Hecke,nlNED,DF,Brighton,24-307,38,25,36,17,32,19,13,22
Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-075,6,4,6,4,9,0,9,2
Dean Henderson,engENG,GK,Crystal Palace,28-030,2,1,5,3,0,0,0,0
Rico Henry,engENG,DF,Brentford,27-277,0,0,1,1,0,0,0,1
Mads Hermansen,dkDEN,GK,Leicester City,24-274,1,1,1,0,1,0,1,0
Son Heung-min,krKOR,FW,Tottenham,32-277,17,9,23,18,10,0,10,5
James Hill,engENG,DF,Bournemouth,23-091,15,8,11,8,5,0,5,9
Jack Hinshelwood,engENG,"DF,MF",Brighton,20-000,23,16,21,12,6,3,3,14
George Hirst,sctSCO,FW,Ipswich Town,26-055,2,2,2,1,0,0,0,1
Mason Holgate,engENG,"FW,DF",Everton,28-171,0,0,0,0,0,0,0,0
Callum Hudson-Odoi,engENG,FW,Nott'ham Forest,24-155,17,12,13,5,10,0,10,13
Will Hughes,engENG,MF,Crystal Palace,29-359,61,33,58,31,27,12,15,16
Dean Huijsen,esESP,DF,Bournemouth,19-362,31,21,25,10,32,24,8,45
Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-163,30,11,45,32,24,1,23,10
Rasmus Højlund,dkDEN,FW,Manchester Utd,22-066,3,1,4,4,4,0,4,1
Igor,brBRA,DF,Brighton,27-063,4,4,10,6,23,14,9,4
Danny Ings,engENG,"FW,MF",West Ham,32-262,4,2,3,2,5,0,5,1
Tim Iroegbunam,engENG,MF,Everton,21-285,26,12,20,7,16,4,12,14
Andy Irving,sctSCO,MF,West Ham,24-333,7,4,5,4,5,1,4,1
Alexander Isak,seSWE,FW,Newcastle Utd,25-202,12,5,12,7,17,2,15,3
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-343,36,20,27,10,22,1,21,10
Nicolas Jackson,snSEN,FW,Chelsea,23-295,17,10,7,5,12,2,10,2
Reece James,engENG,"DF,MF",Chelsea,25-124,8,8,9,6,11,4,7,11
Vitaly Janelt,deGER,MF,Brentford,26-336,36,20,35,15,31,8,23,27
Vitezslav Jaros,czCZE,GK,Liverpool,23-262,0,0,0,0,0,0,0,0
Daniel Jebbison,engENG,FW,Bournemouth,21-241,2,1,4,2,1,1,0,1
Mathias Jensen,dkDEN,MF,Brentford,29-100,11,8,12,6,11,3,8,6
Gabriel Jesus,brBRA,FW,Arsenal,28-008,10,6,9,5,10,1,9,4
Raúl Jiménez,mxMEX,FW,Fulham,33-341,27,17,17,11,18,5,13,9
Kim Jisoo,krKOR,DF,Brentford,20-108,0,0,0,0,0,0,0,0
João Pedro,brBRA,"FW,MF",Brighton,23-197,15,11,10,7,12,0,12,7
Joelinton,brBRA,"MF,FW",Newcastle Utd,28-240,55,34,42,18,33,6,27,22
Ben Johnson,engENG,"DF,FW",Ipswich Town,25-077,32,21,38,21,18,5,13,12
Brennan Johnson,wlsWAL,FW,Tottenham,23-323,37,24,29,14,21,3,18,4
Sam Johnstone,engENG,GK,Wolves,32-017,0,0,1,1,0,0,0,0
Curtis Jones,engENG,"MF,DF",Liverpool,24-071,31,16,20,8,15,7,8,5
Jorginho,itITA,MF,Arsenal,33-112,12,4,20,12,3,0,3,5
Diogo Jota,ptPOR,FW,Liverpool,28-128,11,7,19,12,9,0,9,6
James Justin,engENG,DF,Leicester City,27-047,44,27,46,21,38,12,26,41
Filip Jørgensen,dkDEN,GK,Chelsea,22-360,0,0,0,0,0,0,0,0
Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-186,10,6,15,9,2,2,0,8
Daichi Kamada,jpJPN,MF,Crystal Palace,28-249,40,23,34,22,16,3,13,15
Boubacar Kamara,frFRA,MF,Aston Villa,25-139,44,18,48,22,15,5,10,14
Michael Kayode,itITA,DF,Brentford,20-275,2,2,1,0,0,0,0,1
Michael Keane,engENG,DF,Everton,32-090,10,7,10,3,9,6,3,10
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-139,0,0,0,0,0,0,0,0
Lloyd Kelly,engENG,DF,Newcastle Utd,26-187,5,4,1,0,6,4,2,1
Milos Kerkez,huHUN,DF,Bournemouth,21-155,46,25,34,14,32,11,21,38
Bilal El Khannouss,maMAR,MF,Leicester City,20-336,43,23,20,8,17,3,14,5
Abdukodir Khusanov,uzUZB,DF,Manchester City,21-041,5,4,3,1,5,4,1,3
Max Kilman,engENG,DF,West Ham,27-323,27,15,20,4,48,32,16,34
Joshua King,engENG,"MF,FW",Fulham,18-098,5,3,2,2,2,0,2,1
Antonín Kinský,czCZE,GK,Tottenham,22-029,3,1,1,0,0,0,0,0
Jakub Kiwior,plPOL,DF,Arsenal,25-055,8,3,9,3,6,3,3,1
Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-341,20,9,19,15,20,0,20,13
Ibrahima Konaté,frFRA,DF,Liverpool,25-321,34,23,32,10,26,15,11,11
Ezri Konsa,engENG,DF,Aston Villa,27-170,29,17,21,4,16,9,7,19
Mateo Kovačić,hrCRO,MF,Manchester City,30-340,58,34,55,28,18,0,18,18
Caleb Kporha,engENG,DF,Crystal Palace,18-270,2,1,2,0,0,0,0,0
Emil Krafth,seSWE,DF,Newcastle Utd,30-252,2,1,2,1,5,4,1,2
Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-252,31,19,25,16,21,1,20,4
Dejan Kulusevski,seSWE,"MF,FW",Tottenham,24-351,39,22,46,30,25,3,22,11
Maxence Lacroix,frFRA,DF,Crystal Palace,25-005,62,37,42,13,37,12,25,45
Adam Lallana,engENG,MF,Southampton,36-336,8,5,12,10,4,1,3,5
Tariq Lamptey,ghGHA,DF,Brighton,24-193,14,10,22,15,12,5,7,6
Will Lankshear,engENG,"FW,MF",Tottenham,19-356,0,0,0,0,0,0,0,0
Roméo Lavia,beBEL,MF,Chelsea,21-095,17,10,14,7,6,0,6,11
Mario Lemina,gaGAB,"MF,DF",Wolves,31-222,51,31,29,9,12,7,5,27
Bernd Leno,deGER,GK,Fulham,33-038,2,2,2,0,1,0,1,0
Jefferson Lerma,coCOL,"MF,DF",Crystal Palace,30-168,25,11,28,15,28,15,13,31
Rico Lewis,engENG,"DF,MF",Manchester City,20-141,29,19,21,8,26,7,19,12
Keane Lewis-Potter,engENG,"DF,FW",Brentford,24-048,43,25,41,15,24,9,15,17
Myles Lewis-Skelly,engENG,DF,Arsenal,18-197,21,14,9,0,1,0,1,5
Matthijs de Ligt,nlNED,DF,Manchester Utd,25-242,30,22,32,9,29,21,8,33
Pedro Lima,brBRA,DF,Wolves,18-284,1,0,3,2,0,0,0,2
Victor Lindelöf,seSWE,DF,Manchester Utd,30-268,4,0,2,1,2,1,1,4
Jesper Lindstrøm,dkDEN,FW,Everton,25-041,45,25,55,36,15,3,12,12
Valentino Livramento,engENG,DF,Newcastle Utd,22-150,45,30,44,18,28,9,19,20
Sean Longstaff,engENG,MF,Newcastle Utd,27-163,27,16,27,9,15,4,11,6
Saša Lukić,rsSRB,MF,Fulham,28-241,56,31,45,29,16,6,10,22
Joe Lumley,engENG,GK,Southampton,30-055,0,0,0,0,0,0,0,0
Massimo Luongo,auAUS,MF,Ipswich Town,32-198,8,5,7,3,4,2,2,2
Ian Maatsen,nlNED,DF,Aston Villa,23-032,18,9,16,6,6,0,6,10
Alexis Mac Allister,arARG,MF,Liverpool,26-108,82,50,87,41,54,5,49,19
James Maddison,engENG,MF,Tottenham,28-139,29,18,27,18,15,4,11,11
Noni Madueke,engENG,FW,Chelsea,23-032,17,12,31,20,12,0,12,8
Gabriel Magalhães,brBRA,DF,Arsenal,27-113,25,15,16,4,42,29,13,16
Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-338,2,1,3,2,2,2,0,1
Harry Maguire,engENG,DF,Manchester Utd,32-037,26,13,17,4,14,12,2,36
Kobbie Mainoo,engENG,MF,Manchester Utd,19-357,37,24,33,13,15,2,13,17
Tyrell Malacia,nlNED,DF,Manchester Utd,25-237,2,1,2,1,0,0,0,1
Donyell Malen,nlNED,FW,Aston Villa,26-092,6,3,4,3,0,0,0,0
Orel Mangala,beBEL,MF,Everton,27-024,16,8,8,3,8,3,5,21
Ryan Manning,ieIRL,DF,Southampton,28-301,26,16,23,10,18,11,7,15
Solly March,engENG,"MF,FW",Brighton,30-265,6,3,6,1,3,0,3,1
Omar Marmoush,egEGY,"FW,MF",Manchester City,26-063,11,6,13,6,8,1,7,5
Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-297,19,14,20,14,10,0,10,3
Emiliano Martínez,arARG,GK,Aston Villa,32-221,2,2,1,0,1,0,1,0
Lisandro Martínez,arARG,DF,Manchester Utd,27-083,40,24,36,15,22,8,14,32
Pape Matar Sarr,snSEN,MF,Tottenham,22-209,41,29,21,11,21,7,14,22
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-287,17,12,15,12,14,3,11,2
Stephy Mavididi,engENG,FW,Leicester City,26-315,30,16,37,26,23,2,21,11
Konstantinos Mavropanos,grGRE,DF,West Ham,27-121,32,22,25,11,20,15,5,37
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-148,92,55,78,33,29,7,22,33
Bryan Mbeumo,cmCMR,FW,Brentford,25-247,34,20,22,9,21,3,18,13
James Mcatee,engENG,"MF,FW",Manchester City,22-175,3,2,4,4,4,0,4,1
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-140,11,8,14,8,8,1,7,2
Alex McCarthy,engENG,GK,Southampton,35-129,0,0,0,0,0,0,0,0
John McGinn,sctSCO,"MF,FW",Aston Villa,30-175,27,18,21,11,16,1,15,11
Dwight McNeil,engENG,"MF,FW",Everton,25-140,10,6,16,9,7,0,7,5
Scott McTominay,sctSCO,MF,Manchester Utd,28-124,0,0,1,1,0,0,0,0
Ben Mee,engENG,DF,Brentford,35-202,2,2,1,0,3,3,0,4
Jayden Meghoma,engENG,DF,Brentford,18-287,0,0,0,0,0,0,0,0
Mikel Merino,esESP,"MF,FW",Arsenal,28-293,32,18,26,14,17,5,12,13
Shumaira Mheuka,engENG,MF,Chelsea,17-173,0,0,0,0,0,0,0,0
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-181,39,24,25,6,36,21,15,21
Lewis Miley,engENG,MF,Newcastle Utd,18-345,9,7,10,5,5,1,4,2
James Milner,engENG,MF,Brighton,39-097,5,2,3,0,4,2,2,2
Tyrone Mings,engENG,DF,Aston Villa,32-029,6,5,2,0,13,11,2,5
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-263,38,28,43,27,16,0,16,10
Tyrick Mitchell,engENG,DF,Crystal Palace,25-222,77,49,39,18,54,10,44,13
Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-326,41,24,44,27,45,3,42,13
Jakub Moder,plPOL,MF,Brighton,26-004,1,0,2,2,0,0,0,0
Jeremy Monga,N/a,FW,Leicester City,N/a,0,0,0,0,0,0,0,0
Mikey Moore,engENG,"FW,MF",Tottenham,17-243,0,0,1,1,1,0,1,1
Morato,brBRA,DF,Nott'ham Forest,23-285,21,13,20,7,11,4,7,9
Álex Moreno,esESP,"DF,MF",Nott'ham Forest,31-307,24,18,37,23,11,5,6,14
Sam Morsy,egEGY,MF,Ipswich Town,33-213,55,31,54,31,24,9,15,25
Yerson Mosquera,coCOL,DF,Wolves,23-344,11,7,14,5,13,10,3,10
Mason Mount,engENG,"MF,FW",Manchester Utd,26-091,7,2,8,2,5,1,4,2
Divin Mubama,engENG,FW,Manchester City,20-168,0,0,0,0,0,0,0,0
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-096,2,2,0,0,3,1,2,0
Marshall Munetsi,zwZIM,"MF,FW",Wolves,28-293,16,7,13,4,5,1,4,3
Rodrigo Muniz,brBRA,FW,Fulham,23-342,10,5,4,0,9,2,7,5
