player,nationality,position,team,age,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,progressive_passes_received
Ben Davies,wlsWAL,DF,Tottenham,31-352,748,134,391,324,33,9,1,100.0,0.0,437,1167,6,5,0,2,0,5
Leif Davis,engENG,DF,Ipswich Town,25-089,1421,108,497,469,474,36,37,35.1,45.9,642,1900,47,27,10,35,14,117
Craig Dawson,engENG,DF,Wolves,34-340,671,130,396,249,28,14,5,20.0,40.0,390,938,6,1,0,2,0,5
Kevin De Bruyne,beBEL,MF,Manchester City,33-287,982,10,62,330,597,56,27,37.0,51.9,568,1614,39,37,15,20,23,112
Liam Delap,engENG,FW,Ipswich Town,22-062,612,28,71,254,303,83,74,47.3,41.9,403,1387,57,41,27,92,54,100
Sepp van den Berg,nlNED,DF,Brentford,23-112,1209,218,603,459,149,38,7,57.1,42.9,509,1187,7,9,0,13,5,26
Justin Devenny,nirNIR,MF,Crystal Palace,21-182,192,6,38,94,65,5,4,50.0,50.0,83,199,3,4,1,9,2,9
Kiernan Dewsbury-Hall,engENG,"MF,FW",Chelsea,26-217,180,4,28,94,58,6,4,50.0,50.0,93,221,5,1,0,1,3,11
Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-274,1012,13,150,374,504,109,72,50.0,44.4,656,2294,92,46,52,35,32,159
Rúben Dias,ptPOR,DF,Manchester City,27-332,1813,165,592,987,237,19,3,66.7,33.3,1286,4343,30,51,1,5,1,6
Luis Díaz,coCOL,FW,Liverpool,28-088,1014,13,71,355,607,141,104,44.2,45.2,672,2648,98,48,53,49,41,246
Tyler Dibling,engENG,"FW,MF",Southampton,19-030,761,19,98,353,329,39,99,42.4,36.4,488,1970,63,45,26,39,49,85
Lucas Digne,frFRA,DF,Aston Villa,31-265,1422,86,485,434,513,28,18,50.0,44.4,652,1253,21,14,4,17,15,135
Issa Diop,frFRA,DF,Fulham,28-092,903,125,498,381,26,13,2,50.0,50.0,533,1216,6,2,0,9,2,3
Axel Disasi,frFRA,DF,Aston Villa,27-031,324,32,125,174,28,6,15,60.0,40.0,204,618,10,8,2,3,2,5
Axel Disasi,frFRA,DF,Chelsea,27-031,323,17,110,175,40,2,1,100.0,0.0,196,519,6,3,0,1,3,2
Roman Dixon,engENG,DF,Everton,20-106,36,8,19,14,4,0,3,0.0,100.0,16,48,0,0,0,2,0,1
Nasser Djiga,bfBFA,DF,Wolves,22-147,16,2,8,8,0,0,0,N/a,N/a,7,0,0,0,0,1,2,1
Matt Doherty,ieIRL,DF,Wolves,33-085,1293,106,498,637,175,25,20,55.0,30.0,684,1943,29,19,4,11,5,39
Jeremy Doku,beBEL,"FW,MF",Manchester City,22-319,844,4,40,198,628,116,166,55.4,28.9,650,3833,166,77,77,48,50,223
Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-287,937,60,233,490,222,23,8,37.5,37.5,357,654,12,9,2,16,9,22
Patrick Dorgu,dkDEN,DF,Manchester Utd,20-167,296,11,77,102,119,20,5,40.0,40.0,178,678,20,10,3,8,5,43
Alfie Dorrington,engENG,DF,Tottenham,19-356,16,0,11,5,0,0,0,N/a,N/a,12,26,0,0,0,0,0,0
Abdoulaye Doucouré,mlMLI,MF,Everton,32-100,970,30,204,442,338,46,33,54.5,45.5,505,1211,35,21,5,30,31,79
Cheick Doucouré,mlMLI,MF,Crystal Palace,25-093,263,11,56,165,45,4,5,40.0,40.0,133,280,2,7,1,4,7,7
Flynn Downes,engENG,MF,Southampton,26-081,1048,71,315,560,179,19,13,30.8,53.8,494,1405,21,17,4,12,16,26
Tommy Doyle,engENG,MF,Wolves,23-176,463,22,128,258,80,4,9,55.6,11.1,260,578,6,3,0,9,4,4
Radu Drăgușin,roROU,DF,Tottenham,23-067,961,148,510,430,30,12,2,0.0,0.0,623,1666,7,3,0,8,2,2
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-086,350,262,337,14,0,0,0,N/a,N/a,202,643,0,0,0,0,0,0
Lewis Dunk,engENG,DF,Brighton,33-141,1801,221,868,851,92,16,1,0.0,100.0,1117,2906,20,16,0,5,3,3
Jáder Durán,coCOL,FW,Aston Villa,21-119,263,13,36,110,122,47,14,21.4,64.3,133,267,7,7,2,16,15,44
